03-19 00:37:57: Training starting...
03-19 00:37:59: New best reward 21.0 (-100.0%) at episode 0, saving model...
03-19 00:37:59: New best reward 48.0 (+128.6%) at episode 1, saving model...
03-19 00:37:59: New best reward 53.0 (+10.4%) at episode 16, saving model...
03-19 00:37:59: New best reward 74.0 (+39.6%) at episode 32, saving model...
03-19 00:37:59: New best reward 89.0 (+20.3%) at episode 168, saving model...
03-19 00:38:00: New best reward 91.0 (+2.2%) at episode 300, saving model...
03-19 00:38:00: New best reward 130.0 (+42.9%) at episode 323, saving model...
03-19 00:38:01: New best reward 168.0 (+29.2%) at episode 443, saving model...
03-19 00:38:04: New best reward 181.0 (+7.7%) at episode 728, saving model...
03-19 00:38:04: New best reward 262.0 (+44.8%) at episode 737, saving model...
03-19 00:38:10: New best reward 276.0 (+5.3%) at episode 1119, saving model...
03-19 00:38:12: New best reward 334.0 (+21.0%) at episode 1200, saving model...
03-19 00:38:14: New best reward 350.0 (+4.8%) at episode 1278, saving model...
03-19 00:38:16: New best reward 353.0 (+0.9%) at episode 1343, saving model...
03-19 00:38:20: New best reward 452.0 (+28.0%) at episode 1511, saving model...
03-19 00:38:28: New best reward 504.0 (+11.5%) at episode 1737, saving model...
03-19 00:38:39: New best reward 580.0 (+15.1%) at episode 2009, saving model...
03-19 00:38:48: New best reward 621.0 (+7.1%) at episode 2193, saving model...
03-19 00:39:02: New best reward 790.0 (+27.2%) at episode 2466, saving model...
03-19 00:39:05: New best reward 882.0 (+11.6%) at episode 2517, saving model...
03-19 00:39:06: New best reward 1115.0 (+26.4%) at episode 2531, saving model...
03-19 00:39:12: New best reward 1637.0 (+46.8%) at episode 2629, saving model...
03-19 00:39:23: New best reward 1638.0 (+0.1%) at episode 2800, saving model...
03-19 00:39:28: New best reward 1726.0 (+5.4%) at episode 2861, saving model...
03-19 00:39:47: New best reward 1960.0 (+13.6%) at episode 3040, saving model...
03-19 00:39:52: New best reward 2141.0 (+9.2%) at episode 3077, saving model...
03-19 00:40:08: New best reward 3319.0 (+55.0%) at episode 3204, saving model...
03-19 00:40:39: New best reward 6140.0 (+85.0%) at episode 3383, saving model...
03-19 00:40:58: New best reward 19631.0 (+219.7%) at episode 3512, saving model...
03-19 00:41:04: New best reward 29128.0 (+48.4%) at episode 3514, saving model...
03-19 00:41:24: New best reward 42537.0 (+46.0%) at episode 3535, saving model...
03-19 00:43:00: New best reward 43842.0 (+3.1%) at episode 3678, saving model...
03-19 00:43:13: New best reward 45482.0 (+3.7%) at episode 3680, saving model...
03-19 00:44:40: New best reward 47739.0 (+5.0%) at episode 3707, saving model...
03-19 00:47:23: New best reward 48550.0 (+1.7%) at episode 3854, saving model...
03-19 00:48:26: New best reward 68381.0 (+40.8%) at episode 3890, saving model...
