03-19 01:20:38: Training starting...
03-19 01:20:40: New best reward -7.5 (-100.0%) at episode 0, saving model...
03-19 01:20:40: New best reward -6.9 (-8.0%) at episode 2, saving model...
03-19 01:20:40: New best reward -6.3 (-8.7%) at episode 8, saving model...
03-19 01:20:40: New best reward -5.1 (-19.0%) at episode 35, saving model...
03-19 01:20:41: New best reward -2.1 (-58.8%) at episode 48, saving model...
03-19 01:20:55: New best reward -1.5 (-28.6%) at episode 866, saving model...
03-19 01:21:04: New best reward 0.3 (-120.0%) at episode 1372, saving model...
03-19 01:21:07: New best reward 1.5 (+400.0%) at episode 1550, saving model...
03-19 01:21:29: New best reward 3.9 (+160.0%) at episode 2727, saving model...
03-19 01:24:02: New best reward 4.7 (+20.5%) at episode 9633, saving model...
03-19 01:26:41: New best reward 4.8 (+2.1%) at episode 15784, saving model...
03-19 01:27:31: New best reward 5.0 (+4.2%) at episode 17557, saving model...
03-19 01:27:42: New best reward 6.2 (+24.0%) at episode 17939, saving model...
03-19 01:29:00: New best reward 8.4 (+35.5%) at episode 20668, saving model...
03-19 01:31:51: New best reward 8.8 (+4.8%) at episode 26337, saving model...
03-19 01:32:01: New best reward 10.6 (+20.5%) at episode 26656, saving model...
03-19 01:34:35: New best reward 10.9 (+2.8%) at episode 31415, saving model...
03-19 01:35:08: New best reward 12.9 (+18.3%) at episode 32404, saving model...
03-19 01:35:29: New best reward 13.4 (+3.9%) at episode 33015, saving model...
03-19 01:35:48: New best reward 13.6 (+1.5%) at episode 33559, saving model...
03-19 01:36:32: New best reward 17.9 (+31.6%) at episode 34825, saving model...
03-19 01:40:43: New best reward 18.9 (+5.6%) at episode 41774, saving model...
03-19 01:40:47: New best reward 21.8 (+15.3%) at episode 41893, saving model...
03-19 01:41:39: New best reward 22.4 (+2.8%) at episode 43217, saving model...
03-19 01:42:14: New best reward 26.9 (+20.1%) at episode 44116, saving model...
03-19 01:43:29: New best reward 28.1 (+4.5%) at episode 45988, saving model...
03-19 01:45:55: New best reward 28.9 (+2.8%) at episode 49364, saving model...
03-19 01:47:18: New best reward 31.9 (+10.4%) at episode 50989, saving model...
03-19 01:47:58: New best reward 36.4 (+14.1%) at episode 51910, saving model...
03-19 01:49:21: New best reward 38.6 (+6.0%) at episode 53767, saving model...
03-19 01:51:06: New best reward 43.2 (+11.9%) at episode 55942, saving model...
03-19 01:53:26: New best reward 54.9 (+27.1%) at episode 58769, saving model...
03-19 01:58:55: New best reward 55.2 (+0.5%) at episode 64977, saving model...
03-19 02:01:21: New best reward 65.2 (+18.1%) at episode 67599, saving model...
03-19 02:14:54: New best reward 71.7 (+10.0%) at episode 82140, saving model...
03-19 02:30:58: New best reward 87.9 (+22.6%) at episode 95669, saving model...
03-19 03:13:44: New best reward 95.1 (+8.2%) at episode 127223, saving model...
